,player,team,pos,mins,mins/st,price,G,xG,xG90,xGOT,xGOT90,Finish_qual,A,xA,xA90,xA_FPL,xA_FPL90,GI,GI90,xGI,xGI_fit,Pts,xPts,xPts_fit,xCS,xPts_full,basBPS90,BigChCr,BigChCr90,BigChMiss,SoT,SoT90,Shots,KeyP,KP90,defcon,defcon90,PensWon,rating,fpl_id,etype
48,Rayan,Bournemouth,MID,350,87.0,6.4,0,0.86,0.22,0.67,0.17,-0.19,0,0.08,0.02,0.11,0.03,0.0,0.0,0.95,0.98,8.0,12.6,12.7,1.36,14.1,7.2,0,0.0,3,4,1.03,12,2,0.51,11,2.85,0,6.35,67.0,3.0
49,Oli McBurnie,Hull City,FWD,352,88.0,5.5,0,0.87,0.22,0.76,0.19,-0.11,1,0.12,0.03,0.26,0.07,2.0,0.51,0.98,1.13,12.0,9.8,10.3,0.98,10.3,7.4,0,0.0,3,3,0.77,6,5,1.28,15,3.85,0,6.75,295.0,4.0
50,Yasin Ayari,Brighton,MID,244,81.0,5.4,1,0.59,0.22,1.08,0.4,0.49,0,0.1,0.04,0.12,0.04,1.0,0.37,0.69,0.71,12.0,10.2,10.3,1.1,9.4,17.0,0,0.0,0,3,1.11,8,2,0.74,14,5.19,0,7.0,129.0,3.0
51,Florian Wirtz,Liverpool,MID,332,83.0,7.4,0,0.77,0.21,0.67,0.18,-0.1,1,0.35,0.09,0.37,0.1,1.0,0.27,1.13,1.15,12.0,13.9,14.0,1.28,13.3,15.7,0,0.0,0,3,0.81,10,6,1.63,28,7.59,0,6.58,366.0,3.0
52,Diego Gómez,Brighton,MID,350,87.0,5.0,0,0.79,0.2,1.19,0.31,0.4,1,0.76,0.2,1.05,0.27,2.0,0.51,1.55,1.84,16.0,16.2,17.1,1.15,16.2,11.1,2,0.51,2,4,1.03,14,5,1.29,23,5.95,0,6.88,127.0,3.0
53,Víctor Muñoz,Liverpool,MID,241,71.0,6.5,1,0.51,0.19,0.89,0.33,0.38,0,0.26,0.1,0.12,0.04,2.0,0.75,0.77,0.64,14.0,9.3,9.0,1.07,9.1,9.7,0,0.0,1,2,0.75,7,1,0.37,13,4.9,1,7.03,377.0,3.0
54,Evanilson,Bournemouth,FWD,335,84.0,6.0,0,0.71,0.19,0.0,0.0,-0.71,3,0.51,0.14,1.31,0.35,3.0,0.81,1.22,2.02,16.0,11.4,13.8,1.36,13.8,7.3,3,0.81,4,0,0.0,6,6,1.61,22,5.93,0,6.68,79.0,4.0
55,John McGinn,Aston Villa,MID,352,88.0,5.4,0,0.76,0.19,0.0,0.0,-0.76,1,0.2,0.05,0.49,0.13,1.0,0.26,0.97,1.26,11.0,12.4,13.3,1.04,13.3,9.5,1,0.26,1,0,0.0,4,3,0.77,24,6.15,0,6.38,45.0,3.0
56,Bradley Barcola,Liverpool,MID,98,71.0,8.0,0,0.21,0.19,0.0,0.0,-0.21,0,0.1,0.09,0.12,0.11,0.0,0.0,0.31,0.33,4.0,5.3,5.4,0.5,4.9,12.9,0,0.0,1,0,0.0,1,2,1.84,5,4.64,0,6.65,627.0,3.0
57,Pedro Neto,Chelsea,MID,249,77.0,6.5,1,0.51,0.18,0.61,0.22,0.1,0,0.53,0.19,0.68,0.25,1.0,0.36,1.05,1.2,12.0,11.2,11.6,0.62,12.2,18.1,1,0.36,1,3,1.08,5,5,1.81,22,8.05,0,6.9,156.0,3.0
58,Brian Brobbey,Sunderland,FWD,311,77.0,5.8,0,0.59,0.17,0.0,0.0,-0.59,0,0.08,0.02,0.5,0.14,0.0,0.0,0.66,1.09,7.0,9.6,10.9,1.0,10.9,6.1,1,0.29,1,1,0.29,6,4,1.16,11,3.2,0,6.33,552.0,4.0
59,Kiernan Dewsbury-Hall,Everton,MID,359,90.0,6.5,1,0.62,0.16,0.64,0.16,0.02,0,0.49,0.12,0.84,0.21,1.0,0.25,1.11,1.46,17.0,16.6,17.6,1.26,16.9,20.6,1,0.25,1,5,1.25,12,9,2.26,35,8.75,0,7.43,236.0,3.0
60,Jørgen Strand Larsen,Crystal Palace,FWD,219,72.0,6.0,1,0.39,0.16,0.25,0.1,-0.14,0,0.03,0.01,0.05,0.02,1.0,0.41,0.42,0.44,12.0,9.7,9.7,0.3,9.7,14.4,0,0.0,1,3,1.23,5,1,0.41,10,4.15,0,7.03,222.0,4.0
61,Anton Stach,Leeds,MID,270,90.0,6.0,1,0.49,0.16,0.46,0.15,-0.03,0,0.16,0.05,0.14,0.05,1.0,0.33,0.65,0.63,19.0,16.9,16.9,0.82,16.7,13.0,0,0.0,1,2,0.67,5,2,0.67,38,12.67,0,7.17,335.0,3.0
62,Youri Tielemans,Man Utd,MID,314,78.0,5.9,0,0.55,0.16,0.46,0.13,-0.09,0,0.31,0.09,0.36,0.1,0.0,0.0,0.87,0.92,10.0,13.7,13.9,1.19,15.1,20.4,0,0.0,1,3,0.86,6,6,1.72,30,8.65,0,7.15,43.0,3.0
63,Matheus Cunha,Man Utd,MID,320,79.0,7.9,0,0.57,0.16,0.21,0.06,-0.36,1,0.45,0.13,0.95,0.27,2.0,0.56,1.02,1.53,16.0,14.2,15.8,1.19,16.0,12.7,2,0.56,0,2,0.56,10,5,1.41,10,2.84,1,6.45,428.0,3.0
64,Anthony Elanga,Newcastle,MID,235,77.0,6.2,2,0.42,0.16,0.65,0.25,0.23,0,0.34,0.13,0.58,0.22,2.0,0.77,0.76,1.0,18.0,11.1,11.8,0.63,11.4,13.4,1,0.38,0,3,1.15,4,4,1.53,9,3.49,0,7.4,454.0,3.0
65,Enzo Fernández,Man City,MID,183,78.0,6.9,0,0.31,0.15,0.2,0.1,-0.11,0,0.26,0.13,0.51,0.25,0.0,0.0,0.59,0.83,6.0,8.4,9.1,0.62,7.7,20.7,1,0.49,0,1,0.49,4,3,1.48,16,7.96,0,6.97,155.0,3.0
66,Rio Ngumoha,Liverpool,MID,100,62.0,5.8,0,0.15,0.14,0.0,0.0,-0.15,0,0.05,0.04,0.02,0.02,0.0,0.0,0.2,0.17,4.0,4.9,4.8,0.21,5.0,11.7,0,0.0,1,0,0.0,2,0,0.0,4,3.64,0,6.43,369.0,3.0
67,Brandon Thomas-Asante,Coventry City,FWD,138,69.0,5.0,0,0.21,0.14,0.55,0.36,0.34,0,0.05,0.03,0.02,0.01,0.0,0.0,0.26,0.23,5.0,6.0,5.9,0.15,5.9,17.6,0,0.0,0,2,1.3,2,0,0.0,11,7.23,0,6.45,194.0,4.0
68,Yéremy Pino,Crystal Palace,MID,229,64.0,5.5,0,0.36,0.14,0.0,0.0,-0.36,0,0.4,0.16,1.23,0.48,2.0,0.79,0.76,1.59,12.0,9.0,11.5,0.15,11.6,16.5,3,1.18,1,0,0.0,4,5,1.97,21,8.36,0,6.78,211.0,3.0
69,Cody Gakpo,Liverpool,MID,281,83.0,7.2,1,0.44,0.14,0.38,0.12,-0.06,3,1.21,0.39,1.02,0.33,4.0,1.28,1.66,1.46,29.0,20.9,20.3,0.78,20.1,17.6,1,0.32,0,1,0.32,8,8,2.56,27,8.68,0,7.2,367.0,3.0
