fpl_id,gw,mins,G,A,xG,xA,Pts,CS,dc,bps,starts,saves
71,3,14,0,0,0.0,0.0,1,0,1,2,0,0
72,3,1,0,0,0.02,0.0,1,0,2,3,0,0
73,3,75,0,0,0.0,0.01,4,0,12,15,1,0
74,3,14,0,0,0.0,0.0,1,0,0,2,0,0
75,3,1,0,0,0.0,0.0,1,0,0,3,0,0
79,3,90,0,0,0.13,0.01,2,0,7,4,1,0
82,3,90,0,0,0.0,0.0,2,0,0,10,1,2
84,3,16,0,0,0.0,0.0,1,0,1,4,1,0
86,3,90,0,0,0.24,0.4,2,0,6,4,1,0
87,3,90,0,0,0.0,0.0,2,0,5,8,1,0
88,3,45,0,0,0.03,0.0,1,0,5,2,1,0
90,3,45,0,0,0.0,0.0,1,0,5,0,0,0
91,3,90,0,0,0.11,0.0,3,0,13,3,1,0
93,3,73,0,0,0.1,0.01,4,0,10,11,0,0
94,3,90,0,0,0.0,0.17,2,0,5,11,1,0
95,3,45,0,0,0.0,0.01,1,0,11,6,1,0
96,3,85,0,1,0.0,0.21,8,0,4,30,1,0
98,3,90,1,0,0.11,0.01,11,0,12,30,1,0
102,3,45,0,0,0.03,0.02,0,0,5,1,0,0
104,3,62,0,0,0.0,0.0,2,0,3,5,1,0
105,3,45,0,0,0.05,0.01,1,0,4,3,0,0
106,3,90,0,0,0.5,0.01,2,0,6,9,1,0
108,3,4,0,0,0.0,0.0,1,0,1,2,0,0
109,3,90,0,0,0.0,0.2,3,0,0,17,1,3
110,3,90,0,0,0.0,0.0,2,0,0,13,1,2
112,3,90,0,0,0.09,0.01,8,1,4,29,1,0
113,3,77,0,0,0.06,0.01,2,0,5,8,1,0
114,3,90,0,0,0.0,0.33,2,0,4,17,1,0
115,3,76,0,1,0.0,0.14,4,0,2,17,1,0
116,3,90,0,0,0.0,0.01,5,0,12,20,1,0
119,3,12,0,0,0.0,0.16,1,0,1,7,0,0
124,3,90,0,0,0.79,0.04,1,0,4,-1,1,0
127,3,90,0,0,0.09,0.05,2,0,9,13,1,0
129,3,90,0,0,0.17,0.04,2,0,3,18,1,0
136,3,3,0,0,0.0,0.0,1,0,0,3,0,0
138,3,90,0,0,0.43,0.02,2,0,8,9,1,0
142,3,90,0,0,0.07,0.05,1,0,3,9,1,0
144,3,30,0,0,0.04,0.01,1,0,2,4,0,0
145,3,90,0,0,0.0,0.04,3,0,17,16,1,0
148,3,59,0,1,0.0,0.02,3,0,6,5,1,0
151,3,90,0,0,0.0,0.01,1,0,1,-3,1,0
153,3,90,0,0,0.0,0.04,3,0,13,14,1,0
154,3,90,0,0,0.11,0.04,1,0,3,11,1,0
155,3,75,0,0,0.13,0.12,3,1,3,17,1,0
156,3,80,0,0,0.03,0.03,2,0,7,10,1,0
157,3,9,0,0,0.04,0.0,1,0,0,5,0,0
160,3,15,0,0,0.0,0.0,1,0,0,4,0,0
161,3,59,0,0,0.0,0.01,1,0,6,7,1,0
162,3,6,0,0,0.0,0.01,1,0,4,4,0,0
165,3,90,0,0,0.02,0.05,1,0,1,8,1,0
166,3,84,0,0,0.24,0.44,2,1,2,10,1,0
167,3,73,0,0,0.06,0.06,2,1,5,6,1,0
173,3,90,0,0,0.22,0.17,4,0,12,19,1,0
175,3,90,0,0,0.0,0.06,3,0,11,5,1,0
176,3,84,0,0,0.0,0.08,2,0,7,10,1,0
182,3,90,0,0,0.0,0.34,2,0,3,4,1,0
183,3,62,0,0,0.29,0.09,2,0,5,9,1,0
184,3,90,0,0,0.04,0.0,2,0,8,8,1,0
186,3,70,0,0,0.0,0.0,2,0,5,4,1,0
190,3,27,0,0,0.1,0.03,1,0,1,9,0,0
194,3,19,0,0,0.0,0.0,1,0,3,6,0,0
195,3,19,0,0,0.3,0.0,1,0,0,3,0,0
198,3,90,0,0,0.0,0.0,2,0,0,19,1,5
200,3,90,0,0,0.0,0.01,2,0,11,3,1,0
201,3,31,0,0,0.03,0.0,1,0,1,5,0,0
202,3,90,0,0,0.04,0.0,1,0,9,8,1,0
203,3,90,0,0,0.0,0.0,1,0,9,4,1,0
204,3,73,2,0,0.66,0.01,15,0,6,31,1,0
207,3,1,0,0,0.0,0.0,1,0,1,4,0,0
209,3,65,0,0,0.05,0.04,1,0,8,3,1,0
210,3,90,0,0,0.0,0.01,2,0,8,10,1,0
211,3,88,0,1,0.25,0.3,5,0,5,25,1,0
212,3,16,0,0,0.0,0.0,1,0,3,3,0,0
214,3,88,0,1,0.0,0.01,5,0,4,21,1,0
222,3,45,0,0,0.0,0.0,1,0,4,4,0,0
224,3,45,0,1,0.14,0.0,4,0,2,16,1,0
226,3,90,0,0,0.0,0.0,1,0,0,6,1,1
229,3,90,0,0,0.02,0.01,3,0,12,11,1,0
230,3,90,0,0,0.08,0.0,3,0,11,10,1,0
233,3,90,0,0,0.0,0.01,1,0,6,8,1,0
236,3,90,0,0,0.27,0.07,2,0,11,20,1,0
237,3,86,0,0,0.02,0.04,3,1,5,12,1,0
238,3,24,0,0,0.02,0.13,1,0,1,8,0,0
