gw,team,name,mins,rating,sot,shots,bcc,bcm,kp,xg,xa,g,a,tkl,intc,clr,saves,gprev,penWon,player,fpl_id,fpl_mins,fG,fA,fxg,fxa,Pts,CS,dc,bps,fpl_saves,team_xga,xgot,starts
1,Coventry City,Jack Rudoni,20,6.7,1,1,0,1,0,0.1455,0.00119122,0,0,1,0,0,0,0.0,0,Jack Rudoni,183,20,0,0,0.15,0.0,1,0,5,3,0,1.88,0.0369,0
1,Coventry City,Jay DaSilva,90,6.0,0,0,0,0,0,0.0,0.0232149,0,0,0,0,5,0,0.0,0,Jay DaSilva,176,90,0,0,0.0,0.02,1,0,6,-4,0,1.88,0.0,1
1,Coventry City,Loum Tchaouna,82,6.3,0,2,0,0,0,0.0405,0.0218038,0,0,0,0,3,0,0.0,0,Loum Tchaouna,190,81,0,0,0.04,0.02,2,0,8,11,0,1.88,0.0,1
1,Coventry City,Matt Grimes,90,7.0,0,0,0,0,0,0.0,0.0145097,0,0,0,0,3,0,0.0,0,Matt Grimes,184,90,0,0,0.0,0.01,2,0,7,14,0,1.88,0.0,1
1,Coventry City,Milan van Ewijk,90,5.4,0,0,0,0,0,0.0,0.00713936,0,0,1,1,3,0,0.0,0,Milan van Ewijk,175,90,0,0,0.0,0.01,1,0,7,-8,0,1.88,0.0,1
1,Coventry City,Taiwo Awoniyi,20,6.6,0,0,0,0,0,0.0,0.00049075,0,0,0,0,0,0,0.0,0,Taiwo Awoniyi,492,20,0,0,0.0,0.0,1,0,1,4,0,1.88,0.0,0
1,Coventry City,Victor Torp,28,6.7,0,0,1,0,1,0.0,0.11137,0,0,0,1,0,0,0.0,0,Victor Torp,188,28,0,0,0.0,0.11,1,0,1,8,0,1.88,0.0,0
1,Crystal Palace,Adam Wharton,90,6.8,0,0,1,0,2,0.0,0.243032,0,0,2,3,1,0,0.0,0,Adam Wharton,210,90,0,0,0.0,0.24,4,0,14,20,0,1.12,0.0,1
1,Crystal Palace,Anan Khalaili,35,7.5,0,0,0,0,2,0.0,0.155319,0,0,4,1,3,0,0.0,0,Anan Khalaili,588,35,0,0,0.0,0.16,1,0,9,12,0,1.12,0.0,0
1,Crystal Palace,Chadi Riad,72,6.4,0,0,0,0,0,0.0,0.00672663,0,0,1,1,5,0,0.0,0,Chadi Riad,206,72,0,0,0.0,0.01,1,0,7,7,0,1.12,0.0,1
1,Crystal Palace,Chris Richards,90,6.8,0,0,0,0,0,0.0,0.00380868,0,0,2,2,9,0,0.0,0,Chris Richards,202,90,0,0,0.0,0.0,3,0,16,13,0,1.12,0.0,1
1,Crystal Palace,Daichi Kamada,90,7.1,0,0,1,0,2,0.0,0.267717,0,0,3,1,2,0,0.0,0,Daichi Kamada,214,90,0,0,0.0,0.27,3,0,14,25,0,1.12,0.0,1
1,Crystal Palace,Daniel Muñoz,55,5.9,1,2,0,1,0,0.2264,0.00968689,0,0,1,1,2,0,0.0,0,Daniel Muñoz,377,27,0,1,0.1,0.04,4,0,0,15,0,1.12,0.1572,0
1,Crystal Palace,Dean Henderson,90,6.9,0,0,0,0,0,0.0,7.385e-05,0,0,0,0,3,3,-0.3452,0,Dean Henderson,198,90,0,0,0.0,0.0,2,0,0,14,3,1.12,0.0,1
1,Crystal Palace,Dwight McNeil,63,6.5,0,1,0,0,0,0.0485,0.0226074,0,0,0,0,2,0,0.0,0,Dwight McNeil,241,62,0,0,0.05,0.02,2,0,5,11,0,1.12,0.0,1
1,Crystal Palace,Eddie Nketiah,55,7.0,1,1,2,1,2,0.5999,0.577538,0,0,1,0,1,0,0.0,0,Eddie Nketiah,224,55,0,0,0.6,0.58,1,0,3,12,0,1.12,0.6526,1
1,Crystal Palace,Evann Guessand,27,6.3,1,1,0,0,0,0.0316,0.0171976,0,0,1,0,0,0,0.0,0,Evann Guessand,42,27,0,0,0.03,0.02,1,0,1,3,0,1.12,0.0241,0
1,Crystal Palace,Jaydee Canvot,90,6.8,0,1,0,0,0,0.0473,0.0143082,0,0,4,0,2,0,0.0,0,Jaydee Canvot,203,90,0,0,0.05,0.01,1,0,8,9,0,1.12,0.0,1
1,Crystal Palace,Jean-Philippe Mateta,63,5.9,0,2,0,2,1,0.6981,0.0152225,0,0,2,0,1,0,0.0,0,Jean-Philippe Mateta,223,62,0,0,0.7,0.02,2,0,5,-3,0,1.12,0.0,1
